  n_jobs  |     multiprocessing     |        threading        
______________________________________________________________
    1     |  0.4285097122192383  |  0.0009980201721191406  
    2     |  0.5023837089538574  |  0.001995563507080078  
    3     |  0.48485636711120605  |  0.0019965171813964844  
    4     |  0.4815366268157959  |  0.001994609832763672  
    5     |  0.547816276550293  |  0.002977609634399414  
    6     |  0.5031909942626953  |  0.004030466079711914  
    7     |  0.5257394313812256  |  0.002991199493408203  
    8     |  0.6353716850280762  |  0.005337953567504883  
    9     |  0.9679896831512451  |  0.005515336990356445  
    10     |  1.02608060836792  |  0.005982875823974609  
    11     |  1.0417430400848389  |  0.006979942321777344  
    12     |  0.9516820907592773  |  0.006981849670410156  
    13     |  1.0070927143096924  |  0.007280111312866211  
    14     |  1.0469019412994385  |  0.0062525272369384766  
    15     |  1.4461877346038818  |  0.00797891616821289  
    16     |  1.2555334568023682  |  0.008055686950683594  
    17     |  1.0991504192352295  |  0.008008241653442383  
    18     |  1.2978758811950684  |  0.00897836685180664  
    19     |  1.8124420642852783  |  0.009974479675292969  
    20     |  1.4059998989105225  |  0.009822845458984375  
    21     |  1.3703851699829102  |  0.009529352188110352  
    22     |  1.7553136348724365  |  0.010893106460571289  
    23     |  1.7456331253051758  |  0.011967182159423828  
    24     |  1.578028678894043  |  0.009966373443603516  
